y,x1,x2,x3,x4,x5,x6,x7,x8,x9
680.989,1.371,-2.694,0,7.56,6.645,1.786,119.128,10,14.205
521.047,-0.565,1.199,0,7.653,13.223,1.444,107.897,7,20.875
574.139,0.363,-0.716,0,7.28,16.861,0.312,110.826,2,24.14
515.591,0.633,-1.276,0,7.98,4.891,1.42,122.313,10,12.871
517.828,0.404,-0.806,0,7.644,8.478,0.982,111.969,8,16.122
597.229,-0.106,0.205,0,7.583,10.58,1.853,119.8,4,18.162
586.564,1.512,-3.229,0,7.616,5.42,0.518,111.961,7,13.036
516.119,-0.095,0.179,0,7.925,13.155,0.914,102.965,7,21.08
794.649,2.018,-3.991,0,7.39,8.216,1.712,108.058,6,15.606
796.143,-0.063,0.123,1,7.288,15.986,2.822,106.38,10,23.274
738.321,1.305,-2.679,0,7.091,11.298,1.478,110.61,7,18.388
1015.128,2.287,-4.941,0,7.322,14.416,1.803,111.646,9,21.738
286.41,-1.389,2.849,0,7.758,18.344,0.039,112.926,9,26.102
445.043,-0.279,0.596,0,7.104,12.423,0.622,112.297,10,19.527
951.022,-0.133,0.277,0,7.71,18.205,2.478,127.245,9,25.915
669.768,0.636,-1.232,0,7.966,11.309,1.559,104.298,9,19.275
284.304,-0.284,0.571,0,7.201,4.392,0.104,111.096,7,11.593
115.294,-2.656,5.678,0,7.108,11.749,0.537,116.444,9,18.857
411.676,-2.44,4.5,0,7.055,16.142,1.598,125.399,3,23.197
781.089,1.32,-2.683,0,7.83,13.706,1.032,114.62,11,21.536
574.795,-0.307,0.608,0,7.581,11.414,1.622,122.674,4,18.995
98.871,-1.781,3.719,0,7.47,5.257,0.759,102.488,12,12.727
628.835,-0.172,0.357,0,7.365,15.622,1.096,124.124,4,22.987
637.408,1.215,-2.466,1,7.28,6.915,0.157,109.166,5,14.195
642.133,1.895,-4.073,0,7.6,5.595,0.617,112.065,10,13.195
356.552,-0.43,0.795,0,7.819,13.151,0.088,106.234,6,20.97
202.092,-0.257,0.538,1,7.098,5.826,0.299,114.937,7,12.924
242.62,-1.763,3.248,0,7.964,13.886,0.381,126.497,7,21.85
886.246,0.46,-0.947,1,7.169,13.11,2.798,130.955,9,20.279
65.411,-0.64,1.286,1,7.086,4.99,0.185,106.462,8,12.076
589.901,0.455,-0.955,0,7.861,17.28,0.159,117.402,4,25.141
535.139,0.705,-1.415,0,7.525,9.438,0.294,123.72,5,16.963
732.842,1.035,-1.908,0,7.657,16.669,0.696,112.63,6,24.326
294.288,-0.609,1.096,0,7.23,9.11,0.062,112.473,7,16.34
451.611,0.505,-1.037,1,7.721,8.613,0.049,111.867,9,16.335
395.001,-1.717,3.421,0,7.491,11.671,1.883,118.185,5,19.162
311.235,-0.784,1.524,0,7.965,10.605,0.037,123.782,7,18.571
466.363,-0.851,1.675,0,7.907,10.187,1.783,118.813,3,18.094
14.788,-2.414,4.666,0,7.551,7.543,0.125,116.241,8,15.095
376.578,0.036,-0.072,0,7.076,5.76,0.519,111.887,10,12.836
528.156,0.206,-0.393,0,7.023,14.631,0.334,117.488,8,21.654
428.289,-0.361,0.651,0,7.513,7.463,1.608,110.153,6,14.976
439.802,0.758,-1.5,0,7.631,5.036,0.138,112.045,11,12.666
240.825,-0.727,1.529,1,7.419,9.696,1.486,121.676,5,17.115
341.605,-1.368,2.993,0,7.879,7.958,2.144,117.094,6,15.837
362.891,0.433,-0.866,0,7.108,1.422,0.801,115.687,11,8.53
